img_name,11,12,13,14,15,16,17,18,21-1,21-2,22-1,22-2,31,32,33,34,35,36,37,4,5,61,62,63,64,65,66,67,68,7
251210 114509,0.873534,0.970426,0.946846,0.919826,0.373320,0.999581,0.999003,0.854259,0.655573,0.942294,0.864792,0.826381,0.920492,0.855562,0.906900,0.836054,0.941694,0.940543,0.993565,1.000000,0.922704,0.993719,0.847482,0.886548,0.999891,0.706505,0.562301,0.887774,0.901345,0.822729
251210 114509,0.940696,0.950296,0.920145,0.467568,0.917713,0.989011,0.988158,0.943155,0.951514,0.999711,0.994117,0.955647,0.978011,0.957865,0.913788,0.861155,0.787061,0.907879,0.996817,1.000000,0.922704,0.999775,0.988167,0.891222,0.999986,0.920254,0.849955,0.853757,0.955945,0.950863
251210 143539,0.976617,0.935523,0.944360,0.687240,0.974748,0.976898,0.987078,0.913745,0.961504,0.999224,0.994716,0.927792,0.977503,0.954876,0.913521,0.852960,0.964625,0.849370,0.010069,1.000000,0.850091,0.994276,0.993658,0.976806,0.999996,0.775931,0.861892,0.893202,0.935649,0.947195
251210 073421,0.976617,0.935523,0.944360,0.687240,0.974748,0.976898,0.987078,0.913745,0.961504,0.999224,0.994716,0.927792,0.977503,0.954876,0.913521,0.852960,0.964625,0.849370,0.010069,1.000000,0.850091,0.994276,0.993658,0.976806,0.999996,0.775931,0.861892,0.893202,0.935649,0.947195
251208 044144,0.052075,0.065698,0.007282,0.068037,0.113556,0.011882,0.013486,0.245866,0.307912,0.059301,0.332726,0.046755,0.024864,0.104255,0.062517,0.783826,0.821367,0.003935,0.997596,1.000000,0.000164,0.984654,0.218902,0.973668,0.999980,0.274770,0.218126,0.050823,0.044331,0.071506
251208 044025,0.042493,0.065540,0.010897,0.096603,0.117000,0.011623,0.020051,0.172069,0.478513,0.075629,0.193269,0.017937,0.009797,0.087178,0.051131,0.704160,0.766932,0.004450,0.998567,1.000000,0.000497,0.985776,0.125755,0.984401,0.999903,0.417891,0.211012,0.121375,0.050112,0.038636
251208 032918,0.993254,0.960063,0.998131,0.956800,0.983637,0.987977,0.998315,0.966605,0.905861,0.997147,0.961590,0.988283,0.976185,0.954889,0.922661,0.764681,0.995731,0.951314,0.967547,1.000000,0.972473,0.977801,0.931531,0.993157,0.999859,0.673038,0.849457,0.866657,0.960842,0.953018
251210 143539,0.995671,0.979188,0.998007,0.938672,0.973941,0.993610,0.997009,0.881707,0.872115,0.990056,0.963050,0.980962,0.912722,0.950608,0.895035,0.808078,0.955882,0.937524,0.018434,1.000000,0.850091,0.990020,0.982069,0.986776,0.999966,0.602437,0.844598,0.845641,0.985685,0.947195
251210 114509,0.984248,0.978223,0.998262,0.916586,0.883912,0.997614,0.992239,0.900553,0.917216,0.993492,0.963992,0.989791,0.949107,0.960508,0.827390,0.836957,0.625633,0.935555,0.957843,1.000000,0.922704,0.997132,0.959190,0.956566,0.999920,0.751446,0.852476,0.802433,0.985177,0.950863
251210 114509,0.984248,0.978223,0.998262,0.916586,0.883912,0.997614,0.992239,0.900553,0.917216,0.993492,0.963992,0.989791,0.949107,0.960508,0.827390,0.836957,0.625633,0.935555,0.957843,1.000000,0.922704,0.997132,0.959190,0.956566,0.999920,0.751446,0.852476,0.802433,0.985177,0.950863
